주소,경도,위도
"부산광역시 서구 감천로 262, (암남동)",129.0139595,35.0809636
"부산광역시 서구 대신공원로 26, (동대신동3가)",129.0175391,35.1201682
"부산광역시 서구 구덕로 179, (아미동1가)",129.0188032,35.1008477
"부산광역시 부산진구 복지로 75, 진사로83번길 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",129.0208609,35.1455173
"부산광역시 북구 낙동대로 1786, (구포동)",129.0047235,35.2097133
"부산광역시 동래구 충렬대로 187, (명륜동)",129.0802033,35.2042538
"부산광역시 기장군 장안읍 좌동길 40, (장안읍)",129.2435492,35.3214002
"부산광역시 동래구 안연로109번길 27, (안락동)",129.0961356,35.1969224
"부산광역시 연제구 월드컵대로 359, (거제동, 1동, 5동일부)",129.0592351,35.1872822
"부산광역시 남구 용호로232번길 25-14, (용호동)",129.109125,35.1104571
"부산광역시 수영구 수영로 615, (광안동)",129.1131037,35.16088
"부산광역시 서구 대티로 170, (서대신동2가)",129.0110653,35.1127676
"부산광역시 영도구 태종로 85, (대교동2가)",129.0405236,35.0922416
"부산광역시 동래구 충렬대로 96, (온천동, 광혜병원)",129.0711482,35.2070105
"부산광역시 수영구 수영로679번길 8, (광안동)",129.1144194,35.1668299
"부산광역시 부산진구 가야대로 719, 767, 721, 본관 지하3~5층, 본관 6~11층 전부, 본관 12층 일부, 본관 13~14층 전부, (당감동)",129.0504284,35.1574359
"부산광역시 수영구 수영로 493, (남천동)",129.1106218,35.1500685
"부산광역시 북구 만덕대로 59, (덕천동)",129.0112115,35.2119276
"부산광역시 해운대구 해운대로 584, (우동)",129.1556545,35.1614208
"부산광역시 영도구 태종로 133, (봉래동3가)",129.043866,35.0919442
"부산광역시 사상구 가야대로 326, (주례동)",129.0082462,35.1504161
"부산광역시 동구 중앙대로 401, (좌천동, 봉생병원)",129.0501907,35.1310265
"부산광역시 해운대구 해운대로 875, (좌동)",129.182013,35.173443
"부산광역시 중구 중구로 121, (대청동4가)",129.0324148,35.1076838
"부산광역시 동구 정공단로 27, (좌천동)",129.0543811,35.135783
"부산광역시 동구 범일로 119, (범일동)",129.0590919,35.1408881
"부산광역시 부산진구 중앙대로 605, (범천동)",129.0583786,35.1469602
"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",129.076514,35.1698203
"부산광역시 사상구 백양대로 420, (주례동)",129.006575,35.1533821
"부산광역시 부산진구 개금온정로 5, 지하1,지상3층 (개금동, 성원상떼뷰)",129.0247268,35.153754
"부산광역시 기장군 기장읍 기장해안로 552, (기장읍)",129.226905,35.2228262
"부산광역시 서구 구덕로 164-7, (토성동3가)",129.020361,35.0996073
"부산광역시 수영구 수영로 563-1, 지하1~10층 (광안동)",129.1124247,35.1561769
"부산광역시 부산진구 새싹로 286, 4~9층 (초읍동)",129.0473059,35.1816671
"부산광역시 사상구 낙동대로 792, (엄궁동)",128.9728208,35.1312796
"부산광역시 부산진구 백양대로 252, 1~7층 (개금동)",129.02322,35.1563937
"부산광역시 북구 만덕대로 106, (덕천동)",129.0164317,35.2125989
"부산광역시 사하구 낙동남로 1361, (하단동)",128.9607182,35.1065177
"부산광역시 수영구 수영로536번길 71, (광안동)",129.1158587,35.1527373
"부산광역시 수영구 광안해변로 292, 3~6층 (민락동)",129.1255902,35.1560537
"부산광역시 남구 황령대로 355-14, (대연동)",129.097829,35.1468593
"부산광역시 연제구 중앙대로 1078, (연산동, 4,5층)",129.0805408,35.1839834
"부산광역시 금정구 금강로 638, (남산동)",129.088895,35.2641996
"부산광역시 기장군 기장읍 반송로 1644, (기장읍)",129.2178236,35.2507747
"부산광역시 북구 만덕대로 158, (덕천동)",129.0219608,35.213061
"부산광역시 동래구 충렬대로 437, 안락동 요양병원 (안락동)",129.1062622,35.196697
"부산광역시 사상구 엄궁북로 32, (엄궁동)",128.9736447,35.1281886
"부산광역시 북구 덕천로 339, (만덕동)",129.0407558,35.2091397
"부산광역시 해운대구 해운대로 604, 명성빌딩 5~10층 (우동)",129.157347,35.1624655
"부산광역시 수영구 남천서로20번길 49, (남천동)",129.1069357,35.1461179
"부산광역시 해운대구 달맞이길117번나길 30, (중동)",129.1811843,35.1584119
"부산광역시 북구 기찰로 2-1, (덕천동)",129.0054717,35.2111844
"부산광역시 사하구 다대로 544, 3-4층 (다대동, 진요빌딩)",128.9709781,35.0578274
"부산광역시 동래구 아시아드대로 239-1, (온천동)",129.0674535,35.2054534
"부산광역시 해운대구 아랫반송로6번길 37, (반송동)",129.1464996,35.2246667
"부산광역시 금정구 중앙대로 1961, (구서동)",129.0910825,35.2593923
"부산광역시 동구 범일로 124, (범일동)",129.0596663,35.1409626
"부산광역시 금정구 부곡로 56, (부곡동)",129.0895673,35.2210799
"부산광역시 연제구 월드컵대로 359, (거제동)",129.0592351,35.1872822
"부산광역시 해운대구 해운대로469번가길 77, (우동)",129.1473694,35.1682538
"부산광역시 사하구 동매로44번길 4, (하단동)",128.9631132,35.102443
"부산광역시 북구 함박봉로 98, (만덕동)",129.0281998,35.2061222
"부산광역시 부산진구 새싹로 186, (연지동)",129.0496884,35.1728103
"부산광역시 금정구 중앙대로 1590, (부곡동)",129.0896693,35.2265843
"부산광역시 동래구 충렬대로 97, (온천동)",129.0718307,35.2073474
"부산광역시 북구 백양대로1048번길 10, (구포동)",128.9966153,35.198363
"부산광역시 사상구 대동로 95, 5층, 8~10층 (학장동)",128.9779261,35.1384964
"부산광역시 남구 석포로26번길 17, (감만동)",129.0845486,35.121835
"부산광역시 해운대구 해운대로 802, 10층 (좌동)",129.1766569,35.1691635
"부산광역시 금정구 서동로 172, 지하1,2지상3~9층 (서동)",129.1051966,35.2143872
"부산광역시 북구 화명대로 42, (화명동)",129.0126896,35.2344122
"부산광역시 사하구 다대로 616, (다대동)",128.9705052,35.0516288
"부산광역시 서구 구덕로200번길 8, (부민동1가)",129.020337,35.1023859
"부산광역시 동래구 시실로 12, (명륜동)",129.0853661,35.2174024
"부산광역시 서구 충무대로 246-246, 101동 2층 203호 (남부민동, 현대타운)",129.0242546,35.0925369
"부산광역시 동래구 여고로 5, (사직동)",129.064576,35.1953494
"부산광역시 해운대구 APEC로 17, 센텀리더스마크, 1.2층일부, 3층, 5~8층 (우동)",129.1324308,35.1659261
"부산광역시 해운대구 재반로 137, (재송동)",129.1270729,35.1905809
"부산광역시 수영구 수영로 671, 5층~11층 (광안동)",129.1144799,35.1657592
"부산광역시 서구 암남공원로 522, (암남동)",129.012138,35.079737
"부산광역시 부산진구 가야대로 564, 지하1~지상6층 (가야동)",129.0336061,35.1539398
"부산광역시 중구 동광길 179, (영주동)",129.036887,35.1105954
