자치구,읍면동,세대 수,인구 수
중구,소계,23925,42609
중구,중앙동,2226,3380
중구,동광동,1729,2998
중구,대청동,3502,6351
중구,보수동,5953,10760
중구,부평동,2745,4711
중구,광복동,593,1021
중구,남포동,634,1156
중구,영주1동,2941,5047
중구,영주2동,3602,7185
서구,소계,52960,107143
서구,동대신1동,2752,5655
서구,동대신2동,3617,7383
서구,동대신3동,3906,7758
서구,서대신1동,6193,13811
서구,서대신3동,3329,8180
서구,서대신4동,3165,7790
서구,부민동,4066,7863
서구,아미동,3872,6653
서구,초장동,2563,4308
서구,충무동,5570,10257
서구,남부민1동,2745,5126
서구,남부민2동,4840,9173
서구,암남동,6342,13186
동구,소계,46362,89712
동구,초량1동,2996,5888
동구,초량2동,3371,6024
동구,초량3동,6489,13449
동구,초량6동,3175,6007
동구,수정1동,2037,4194
동구,수정2동,5151,9889
동구,수정4동,2239,3926
동구,수정5동,2725,5327
동구,좌천동,5398,10846
동구,범일1동,6278,11862
동구,범일2동,4361,7939
동구,범일5동,2142,4361
영도구,소계,54659,112451
영도구,남항동,5706,11294
영도구,영선1동,1916,4084
영도구,영선2동,3848,8401
영도구,신선동,4605,8368
영도구,봉래1동,3337,6856
영도구,봉래2동,3711,7950
영도구,청학1동,3014,6187
영도구,청학2동,7886,17797
영도구,동삼1동,12938,27998
영도구,동삼2동,1840,3528
영도구,동삼3동,5858,9988
부산진구,소계,173353,355902
부산진구,부전1동,10310,16084
부산진구,부전2동,5626,10098
부산진구,연지동,8703,20683
부산진구,초읍동,10081,22237
부산진구,양정1동,9215,20139
부산진구,양정2동,7560,12055
부산진구,전포1동,12050,21937
부산진구,전포2동,11475,21015
부산진구,부암1동,9858,23099
부산진구,부암3동,6958,17476
부산진구,당감1동,10377,23219
부산진구,당감2동,4661,10332
부산진구,당감4동,5139,11380
부산진구,가야1동,10159,19842
부산진구,가야2동,7322,16967
부산진구,개금1동,8866,16858
부산진구,개금2동,4995,11024
부산진구,개금3동,12490,28919
부산진구,범천1동,7167,12094
부산진구,범천2동,10341,20444
동래구,소계,115718,268004
동래구,수민동,13661,32698
동래구,복산동,4753,9552
동래구,명륜동,9426,24823
동래구,온천1동,11394,20763
동래구,온천2동,6351,15000
동래구,온천3동,17461,38716
동래구,사직1동,4807,10673
동래구,사직2동,9519,27371
동래구,사직3동,7516,17506
동래구,안락1동,6906,14645
동래구,안락2동,11111,27264
동래구,명장1동,6209,14088
동래구,명장2동,6604,14905
남구,소계,117821,267422
남구,대연1동,8998,17023
남구,대연3동,15596,35047
남구,대연4동,5496,12455
남구,대연5동,8170,17187
남구,대연6동,5926,15466
남구,용호1동,17171,44819
남구,용호2동,6684,17029
남구,용호3동,5695,12296
남구,용호4동,3849,8612
남구,용당동,3489,8425
남구,감만1동,6148,13087
남구,감만2동,3301,6791
남구,우암동,5765,12863
남구,문현1동,5884,13624
남구,문현2동,5046,8635
남구,문현3동,6606,15715
남구,문현4동,3997,8348
북구,소계,123316,285390
북구,구포1동,8141,16252
북구,구포2동,11793,25438
북구,구포3동,9262,20663
북구,금곡동,18148,38120
북구,화명1동,14477,41726
북구,화명2동,7029,17186
북구,화명3동,10795,29863
북구,덕천1동,6077,11175
북구,덕천2동,6660,12113
북구,덕천3동,5660,10820
북구,만덕1동,7165,16729
북구,만덕2동,10660,26581
북구,만덕3동,7449,18724
해운대구,소계,172397,401131
해운대구,우1동,10903,22844
해운대구,우2동,11855,30996
해운대구,우3동,10989,29594
해운대구,중1동,12241,28318
해운대구,중2동,7536,16290
해운대구,좌1동,7811,18221
해운대구,좌2동,14180,32323
해운대구,좌3동,6445,16295
해운대구,좌4동,8641,23216
해운대구,송정동,5100,10014
해운대구,반여1동,13113,34743
해운대구,반여2동,6862,12757
해운대구,반여3동,4614,8602
해운대구,반여4동,6079,16123
해운대구,반송1동,7905,14516
해운대구,반송2동,11966,23412
해운대구,재송1동,14664,38016
해운대구,재송2동,11493,24851
사하구,소계,139604,310195
사하구,괴정1동,8722,19647
사하구,괴정2동,6306,14092
사하구,괴정3동,6449,12551
사하구,괴정4동,5553,12331
사하구,당리동,11445,26697
사하구,하단1동,10401,21761
사하구,하단2동,12871,25799
사하구,신평1동,8258,17362
사하구,신평2동,6733,16033
사하구,장림1동,4963,11332
사하구,장림2동,11876,27728
사하구,다대1동,17011,39550
사하구,다대2동,12153,27483
사하구,구평동,5228,13058
사하구,감천1동,8294,18798
사하구,감천2동,3341,5973
금정구,소계,108070,231996
금정구,서1동,3174,5334
금정구,서2동,4958,9280
금정구,서3동,5957,11307
금정구,금사회동동,4168,8053
금정구,부곡1동,4479,8307
금정구,부곡2동,7954,18064
금정구,부곡3동,6875,15893
금정구,부곡4동,6124,12916
금정구,장전1동,10811,19572
금정구,장전2동,11715,27355
금정구,선두구동,1275,2341
금정구,청룡노포동,4398,9797
금정구,남산동,14174,29703
금정구,구서1동,8075,19783
금정구,구서2동,13457,33238
금정구,금성동,476,1053
강서구,소계,61502,147347
강서구,대저1동,3740,6707
강서구,대저2동,3726,7201
강서구,강동동,2527,4346
강서구,명지1동,20640,53402
강서구,명지2동,10307,30573
강서구,가락동,1353,2424
강서구,녹산동,16742,38719
강서구,가덕도동,2467,3975
연제구,소계,93606,208050
연제구,거제1동,11391,29302
연제구,거제2동,4562,12267
연제구,거제3동,4706,10028
연제구,거제4동,4166,10462
연제구,연산1동,7161,16853
연제구,연산2동,9195,20749
연제구,연산3동,4552,9214
연제구,연산4동,8595,16264
연제구,연산5동,10204,16717
연제구,연산6동,8166,16801
연제구,연산8동,6212,14201
연제구,연산9동,14696,35192
수영구,소계,85896,176812
수영구,남천1동,6326,14009
수영구,남천2동,4929,12228
수영구,수영동,7896,14800
수영구,망미1동,12415,27523
수영구,망미2동,4950,10779
수영구,광안1동,14239,26079
수영구,광안2동,9632,18994
수영구,광안3동,5986,9680
수영구,광안4동,6284,13825
수영구,민락동,13239,28895
사상구,소계,98621,212771
사상구,삼락동,3144,6202
사상구,모라1동,12502,28282
사상구,모라3동,6718,10462
사상구,덕포1동,4278,9033
사상구,덕포2동,5766,13172
사상구,괘법동,12792,23172
사상구,감전동,7237,13811
사상구,주례1동,6436,15253
사상구,주례2동,11285,23943
사상구,주례3동,5741,13241
사상구,학장동,12171,28860
사상구,엄궁동,10551,27340
기장군,소계,76853,179174
기장군,기장읍,25598,53378
기장군,장안읍,4732,8949
기장군,정관읍,31904,82889
기장군,일광면,10728,25983
기장군,철마면,3891,7975
