"읍면동별(1)",읍면동별(2),세대 (세대),인구 (명),인구 (명),인구 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),65세이상 고령자 (명)
"읍면동별(1)",읍면동별(2),소계,소계,남,여,소계,남,여,소계,남,여,소계
"읍면동별(1)",읍면동별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"합계",소계,1544663,3396109,1663619,1732490,3350380,1639044,1711336,45729,24575,21154,681885
"중구",소계,23925,42609,21120,21489,40524,19755,20769,2085,1365,720,11206
"중구",중앙동,2226,3380,1790,1590,2937,1405,1532,443,385,58,463
"중구",동광동,1729,2998,1613,1385,2675,1361,1314,323,252,71,909
"중구",대청동,3502,6351,2964,3387,6252,2926,3326,99,38,61,1621
"중구",보수동,5953,10760,5169,5591,10521,5084,5437,239,85,154,2824
"중구",부평동,2745,4711,2238,2473,4511,2144,2367,200,94,106,1394
"중구",광복동,593,1021,534,487,974,496,478,47,38,9,330
"중구",남포동,634,1156,761,395,915,529,386,241,232,9,319
"중구",영주1동,2941,5047,2586,2461,4693,2403,2290,354,183,171,1149
"중구",영주2동,3602,7185,3465,3720,7046,3407,3639,139,58,81,2197
"서구",소계,52960,107143,52051,55092,105164,50853,54311,1979,1198,781,27529
"서구",동대신1동,2752,5655,2754,2901,5614,2744,2870,41,10,31,1354
"서구",동대신2동,3617,7383,3581,3802,7333,3563,3770,50,18,32,2287
"서구",동대신3동,3906,7758,3637,4121,7702,3614,4088,56,23,33,1851
"서구",서대신1동,6193,13811,6492,7319,13712,6456,7256,99,36,63,2828
"서구",서대신3동,3329,8180,3752,4428,8120,3724,4396,60,28,32,1697
"서구",서대신4동,3165,7790,3746,4044,7758,3737,4021,32,9,23,1559
"서구",부민동,4066,7863,3674,4189,7517,3548,3969,346,126,220,1507
"서구",아미동,3872,6653,3364,3289,6607,3350,3257,46,14,32,2384
"서구",초장동,2563,4308,2178,2130,4271,2164,2107,37,14,23,1551
"서구",충무동,5570,10257,4990,5267,9896,4717,5179,361,273,88,2520
"서구",남부민1동,2745,5126,2687,2439,4870,2464,2406,256,223,33,1709
"서구",남부민2동,4840,9173,4623,4550,8992,4480,4512,181,143,38,3009
"서구",암남동,6342,13186,6573,6613,12772,6292,6480,414,281,133,3273
"동구",소계,46362,89712,43851,45861,87679,42877,44802,2033,974,1059,23760
"동구",초량1동,2996,5888,2983,2905,5027,2532,2495,861,451,410,1268
"동구",초량2동,3371,6024,2913,3111,5701,2826,2875,323,87,236,1865
"동구",초량3동,6489,13449,6611,6838,13029,6331,6698,420,280,140,1743
"동구",초량6동,3175,6007,2931,3076,5953,2908,3045,54,23,31,1995
"동구",수정1동,2037,4194,2035,2159,4160,2022,2138,34,13,21,1180
"동구",수정2동,5151,9889,4681,5208,9819,4654,5165,70,27,43,2799
"동구",수정4동,2239,3926,1927,1999,3902,1921,1981,24,6,18,1477
"동구",수정5동,2725,5327,2541,2786,5306,2535,2771,21,6,15,1818
"동구",좌천동,5398,10846,5250,5596,10783,5231,5552,63,19,44,3192
"동구",범일1동,6278,11862,5841,6021,11789,5821,5968,73,20,53,3667
"동구",범일2동,4361,7939,3987,3952,7862,3951,3911,77,36,41,1705
"동구",범일5동,2142,4361,2151,2210,4348,2145,2203,13,6,7,1051
"영도구",소계,54659,112451,55576,56875,110638,54471,56167,1813,1105,708,31981
"영도구",남항동,5706,11294,5790,5504,10846,5417,5429,448,373,75,3426
"영도구",영선1동,1916,4084,1991,2093,3995,1919,2076,89,72,17,1210
"영도구",영선2동,3848,8401,4083,4318,8287,4014,4273,114,69,45,2521
"영도구",신선동,4605,8368,4203,4165,8321,4183,4138,47,20,27,2980
"영도구",봉래1동,3337,6856,3413,3443,6741,3329,3412,115,84,31,2017
"영도구",봉래2동,3711,7950,3867,4083,7911,3849,4062,39,18,21,2146
"영도구",청학1동,3014,6187,3043,3144,6113,2993,3120,74,50,24,1841
"영도구",청학2동,7886,17797,8800,8997,17625,8719,8906,172,81,91,4551
"영도구",동삼1동,12938,27998,13661,14337,27532,13450,14082,466,211,255,6849
"영도구",동삼2동,1840,3528,1880,1648,3354,1778,1576,174,102,72,977
"영도구",동삼3동,5858,9988,4845,5143,9913,4820,5093,75,25,50,3463
"부산진구",소계,173353,355902,171262,184640,353159,170181,182978,2743,1081,1662,72339
"부산진구",부전1동,10310,16084,8028,8056,15902,7948,7954,182,80,102,2987
"부산진구",부전2동,5626,10098,5043,5055,9930,4953,4977,168,90,78,1359
"부산진구",연지동,8703,20683,9764,10919,20607,9736,10871,76,28,48,4679
"부산진구",초읍동,10081,22237,10709,11528,22133,10680,11453,104,29,75,5956
"부산진구",양정1동,9215,20139,9468,10671,20028,9427,10601,111,41,70,4046
"부산진구",양정2동,7560,12055,5508,6547,11985,5483,6502,70,25,45,2030
"부산진구",전포1동,12050,21937,10472,11465,21776,10418,11358,161,54,107,3176
"부산진구",전포2동,11475,21015,9827,11188,20853,9761,11092,162,66,96,4743
"부산진구",부암1동,9858,23099,11259,11840,22999,11228,11771,100,31,69,4179
"부산진구",부암3동,6958,17476,8584,8892,17437,8571,8866,39,13,26,3354
"부산진구",당감1동,10377,23219,11067,12152,23065,11013,12052,154,54,100,5152
"부산진구",당감2동,4661,10332,4916,5416,10274,4898,5376,58,18,40,2121
"부산진구",당감4동,5139,11380,5560,5820,11323,5535,5788,57,25,32,2460
"부산진구",가야1동,10159,19842,9916,9926,19224,9624,9600,618,292,326,4373
"부산진구",가야2동,7322,16967,8222,8745,16844,8179,8665,123,43,80,3899
"부산진구",개금1동,8866,16858,8066,8792,16724,8024,8700,134,42,92,2746
"부산진구",개금2동,4995,11024,5369,5655,10948,5343,5605,76,26,50,2567
"부산진구",개금3동,12490,28919,13936,14983,28813,13899,14914,106,37,69,5702
"부산진구",범천1동,7167,12094,5674,6420,11965,5630,6335,129,44,85,2102
"부산진구",범천2동,10341,20444,9874,10570,20329,9831,10498,115,43,72,4708
"동래구",소계,115718,268004,130093,137911,266866,129681,137185,1138,412,726,51829
"동래구",수민동,13661,32698,15840,16858,32558,15792,16766,140,48,92,6280
"동래구",복산동,4753,9552,4645,4907,9523,4638,4885,29,7,22,2920
"동래구",명륜동,9426,24823,12189,12634,24724,12141,12583,99,48,51,3409
"동래구",온천1동,11394,20763,9801,10962,20551,9724,10827,212,77,135,3798
"동래구",온천2동,6351,15000,7187,7813,14933,7155,7778,67,32,35,3640
"동래구",온천3동,17461,38716,18908,19808,38542,18849,19693,174,59,115,7288
"동래구",사직1동,4807,10673,5119,5554,10614,5095,5519,59,24,35,2119
"동래구",사직2동,9519,27371,13178,14193,27315,13166,14149,56,12,44,3403
"동래구",사직3동,7516,17506,8687,8819,17447,8662,8785,59,25,34,3383
"동래구",안락1동,6906,14645,7201,7444,14560,7167,7393,85,34,51,3666
"동래구",안락2동,11111,27264,13256,14008,27185,13233,13952,79,23,56,5223
"동래구",명장1동,6209,14088,6814,7274,14048,6804,7244,40,10,30,3251
"동래구",명장2동,6604,14905,7268,7637,14866,7255,7611,39,13,26,3449
"남구",소계,117821,267422,130654,136768,262069,127955,134114,5353,2699,2654,55386
"남구",대연1동,8998,17023,8693,8330,15794,7975,7819,1229,718,511,3577
"남구",대연3동,15596,35047,17169,17878,32729,16000,16729,2318,1169,1149,4252
"남구",대연4동,5496,12455,6097,6358,12382,6067,6315,73,30,43,2875
"남구",대연5동,8170,17187,8246,8941,17004,8156,8848,183,90,93,3472
"남구",대연6동,5926,15466,7440,8026,15382,7396,7986,84,44,40,2357
"남구",용호1동,17171,44819,21500,23319,44281,21254,23027,538,246,292,8243
"남구",용호2동,6684,17029,8325,8704,16850,8240,8610,179,85,94,3476
"남구",용호3동,5695,12296,5940,6356,12228,5915,6313,68,25,43,3510
"남구",용호4동,3849,8612,4134,4478,8542,4107,4435,70,27,43,2064
"남구",용당동,3489,8425,4246,4179,8249,4152,4097,176,94,82,1739
"남구",감만1동,6148,13087,6682,6405,12970,6623,6347,117,59,58,3417
"남구",감만2동,3301,6791,3321,3470,6768,3318,3450,23,3,20,2006
"남구",우암동,5765,12863,6333,6530,12818,6321,6497,45,12,33,3750
"남구",문현1동,5884,13624,6623,7001,13577,6610,6967,47,13,34,3130
"남구",문현2동,5046,8635,4242,4393,8564,4213,4351,71,29,42,2099
"남구",문현3동,6606,15715,7597,8118,15632,7566,8066,83,31,52,3094
"남구",문현4동,3997,8348,4066,4282,8299,4042,4257,49,24,25,2325
"북구",소계,123316,285390,140791,144599,283211,139795,143416,2179,996,1183,52506
"북구",구포1동,8141,16252,8176,8076,16096,8116,7980,156,60,96,3272
"북구",구포2동,11793,25438,12995,12443,25270,12934,12336,168,61,107,4857
"북구",구포3동,9262,20663,10733,9930,19686,10142,9544,977,591,386,3776
"북구",금곡동,18148,38120,18397,19723,37959,18342,19617,161,55,106,8864
