주소,세대수,위도,경도
부산광역시 강서구 명지오션시티10로 17  ,652,35.0874868,128.8979859
부산광역시 강서구 명지오션시티10로 16  ,1102,35.0854913,128.8977771
부산광역시 강서구 명지오션시티11로 51  ,1112,35.0855994,128.9018002
부산광역시 강서구 명지오션시티2로 71  ,1124,35.0831422,128.9011489
부산광역시 강서구 명지오션시티11로 22 ,1256,35.083129,128.8977663
부산광역시 강서구 명지오션시티12로 10  ,480,35.080899,128.8971855
부산광역시 강서구 명지오션시티1로 155   ,841,35.0809155,128.9013971
"부산광역시 강서구 명지오션시티6로 33 (명지동, 엘크루 블루오션) ",414,35.083025,128.9093767
"부산광역시 강서구 명지오션시티12로 92 (명지동, 엘크루 블루오션)",375,35.0809186,128.9058054
"부산광역시 강서구 명지오션시티12로 120 (명지동, 엘크루 블루오션)  ",252,35.0812324,128.9097859
부산광역시 강서구 명지오션시티11로 84  ,1122,35.0831609,128.9060629
부산광역시 강서구 명지오션시티10로 114  ,610,35.0855028,128.9085915
부산광역시 강서구 신호산단3로 55  ,671,35.0881021,128.8790732
부산광역시 강서구 과학산단2로20번길 69 ,1111,35.1519088,128.8378143
부산광역시 강서구 명지국제5로 60 ,980,35.0996083,128.9216906
부산광역시 강서구 명지국제5로 59 ,850,35.09986,128.9191975
부산광역시 강서구 과학산단로306번길 10,1277,35.1500304,128.8383655
부산광역시 강서구 명지국제5로 30 ,737,35.0963563,128.9211969
부산광역시 강서구 명지국제5로 29 ,642,35.0966271,128.9186682
부산광역시 강서구 명지국제5로 109 ,670,35.1036708,128.9197651
부산광역시 강서구 명지국제5로 11 ,600,35.09479779999999,128.9183327
부산광역시 강서구 명지국제5로 141,1664,35.1064248,128.9201755
부산광역시 강서구 명지국제7로 133 ,1033,35.0971267,128.9161721
부산광역시 강서구 명지국제5로 89 ,694,35.1021328,128.9195351
부산광역시 강서구 과학산단2로20번길 91,1013,35.1515466,128.84087
부산광역시 강서구 명지국제5로 90 ,750,35.1018404,128.9220689
"부산광역시 강서구 명지국제7로 111, ",1201,35.0974002,128.913796
부산광역시 강서구 신호산단3로 27  ,1064,35.0880968,128.8752975
부산광역시 강서구 신호산단4로 27  ,1388,35.0865538,128.8752979
부산광역시 강서구 신호산단5로 31  ,1278,35.0844818,128.8759664
부산광역시 강서구 신호산단1로 101 ,1109,35.0823943,128.8749648
부산광역시 강서구 과학산단2로20번길 35  ,961,35.15146800000001,128.8340179
부산광역시 강서구 명지국제5로 110 ,870,35.1034612,128.9222737
부산광역시 강서구 명지국제5로 165 ,908,35.1091431,128.920581
