연번,단지명,주소,동수,층수,연면적,세대수
1,퀸덤 1차 에디슨타운,"부산광역시 강서구 명지오션시티10로 17 (명지동, 퀸덤1차아파트) ",11,15,125631,652
2,퀸덤 1차 링컨타운,"부산광역시 강서구 명지오션시티10로 16 (명지동, 퀸덤1차 링컨타운) ",17,15,199392,1102
3,퀸덤 1차 아인슈타인,"부산광역시 강서구 명지오션시티11로 51 (명지동, 퀸덤1차 아인슈타인타운) ",17,15,202705,1112
4,명지 극동스타클래스,"부산광역시 강서구 명지오션시티2로 71 (명지동, 극동스타클래스아파트) ",21,15,187292,1124
5,명지 두산위브포세이돈,"부산광역시 강서구 명지오션시티11로 22 (명지동, 명지두산위브포세이돈)",16,15,192500,1256
6,명지 엘크루솔마레(B3),"부산광역시 강서구 명지오션시티12로 10 (명지동, 엘크루솔마레) ",13,11,74795,480
7,명지 한신휴플러스,"부산광역시 강서구 명지오션시티1로 155 (명지동, 한신 휴플러스)  ",29,11,126910,841
8,명지 엘크루블루오션(C2),"부산광역시 강서구 명지오션시티6로 33 (명지동, 엘크루 블루오션(C2)) ",17,10,112664,414
9,명지 엘크루블루오션(C3) ,"부산광역시 강서구 명지오션시티12로 92 (명지동, 엘크루 블루오션(C3))",14,10,107698,375
10,명지 엘크루블루오션(C4),"부산광역시 강서구 명지오션시티12로 120 (명지동, 엘크루 블루오션(C4))  ",13,10,76032,252
11,명지 롯데캐슬,"부산광역시 강서구 명지오션시티11로 84 (명지동, 롯데캐슬아파트) ",16,15,190077,1122
12,명지 삼정그린코아,"부산광역시 강서구 명지오션시티10로 114 (명지동, 삼정그린코아) ",13,10,92862,610
13,신호 윌더하임,"부산광역시 강서구 신호산단3로 55 (신호동, 윌더하임아파트) ",12,15,97108,671
14,지사 금강펜테리움,"부산광역시 강서구 과학산단2로20번길 69 (지사동, 지사금강펜테리움)",17,25,42063,1111
15,명지 에일린의뜰,"부산광역시 강서구 명지국제5로 60 (명지동, 에일린의 뜰)",13,20,136873,980
16,명지 금강펜테리움 센트럴파크 1차,"부산광역시 강서구 명지국제5로 59 (명지동, 명지1차금강펜테리움센트럴파크)",8,29,125183,850
17,지사 협성DS엘리시안,"부산광역시 강서구 과학산단로306번길 10(지사동, 협성DS엘리시안)",14,25,166021,1277
18,명지 대방노블랜드오션뷰 1차,"부산광역시 강서구 명지국제5로 30 (명지동, 대방노블랜드오션뷰1차)",11,20,112252,737
19,명지 호반베르디움 1차,"부산광역시 강서구 명지국제5로 29 (명지동, 명지 국제신도시 호반베르디움 1차)",8,25,90654,642
20,명지 금강펜테리움 센트럴파크 2차,"부산광역시 강서구 명지국제5로 109 (명지동, 명지2차금강펜테리움센트럴파크)",6,29,94806,670
21,명지 대방노블랜드오션뷰 2차,"부산광역시 강서구 명지국제5로 11 (명지동, 대방노블랜드오션뷰2차)",8,20,93784,600
22,명지 협성휴포레,"부산광역시 강서구 명지국제5로 141(명지동, 협성휴포레)",28,20,193776,1664
23,명지 중흥S클래스프라디움,"부산광역시 강서구 명지국제7로 133 (명지동, 중흥 S-클래스 프라디움)",9,29,129859,1033
24,명지 호반베르디움 2차,"부산광역시 강서구 명지국제5로 89 (명지동, 명지 국제신도시 호반베르디움2차)",6,29,98539,694
25,지사 삼정그린코아,"부산광역시 강서구 과학산단2로20번길 91(지사동, 지사과학단지 삼정그린코아)",10,25,124866,1013
26,명지 중흥S클래스에듀오션,"부산광역시 강서구 명지국제5로 90 (명지동, 중흥S-클래스 에듀오션)",12,20,108526,750
27,명지더웨스턴,"부산광역시 강서구 명지국제7로 111, (명지동, 명지더웨스턴)",11,21,167134,1201
28,부산신호사랑으로부영 1차,"부산광역시 강서구 신호산단3로 27 (신호동, 부산신호사랑으로부영1차) ",14,20,147792,1064
29,부산신호사랑으로부영 2차,"부산광역시 강서구 신호산단4로 27 (신호동, 부산신호사랑으로부영2차) ",20,20,192716,1388
30,부산신호사랑으로부영 3차,"부산광역시 강서구 신호산단5로 31 (신호동, 부산신호사랑으로부영3차) ",19,20,185079,1278
31,부산신호사랑으로부영 5차 ,"부산광역시 강서구 신호산단1로 101 (신호동, 부산신호사랑으로부영5차)",16,20,176136,1109
32,지사 휴먼시아,"부산광역시 강서구 과학산단2로20번길 35 (지사동, 부산지사휴먼시아) ",8,20,75729,961
33,명지 금강펜테리움 센트럴파크 3차,"부산광역시 강서구 명지국제5로 110 (명지동, 명지3차금강펜테리움센트럴파크)",12,20,98999,870
34,명지 스위트팰리스,"부산광역시 강서구 명지국제5로 165 (명지동, 명지 스위트팰리스)",12,20,124424,908
35,명지 중흥S클래스 더테라스,"부산광역시 강서구 명지국제13로38번길 11 (명지동, 중흥S클래스 더 테라스)",16,4,45851,222
36,명지 더 에듀 팰리스 부영,"부산광역시 강서구 명지국제7로 110 (명지동, 더 에듀 팰리스 부영)",16,20,244670,1210
37,명지 (대림)e편한세상,"부산광역시 강서구 명지국제2로 80 (명지동, e편한세상)",4,27,96473,377
38,명지 삼정그린코아 더 베스트,"부산광역시 강서구 명지국제3로 97 (명지동, 삼정그린코아 더 베스트)",4,30,161887,431
39,화전 우방아이유쉘,"부산광역시 강서구 화전산단4로 74(화전동, 우방아이유쉘)",16,20,190251,1515
40,더샵 명지퍼스트월드 2단지,"부산광역시 강서구 명지국제7로 37(명지동, 더샵 명지퍼스트월드 2단지) ",11,30,274224,1406
41,더샵 명지퍼스트월드3단지,"부산광역시 강서구 명지국제2로 41(명지동, 더샵 명지퍼스트월드 3단지) ",9,34,291067,1530
42,공항마을 리베르하임,부산광역시 강서구 공항앞길13번길 53 (대저2동),2,15,"25,908",182
43,명지 행복주택,부산광역시 강서구 르노삼성대로 255 (명지동),2,15,"16,771",284
43,연산,부산광역시 연제구 연산2동 1602-9,2,4,5783,107
43,거제,부산광역시 연제구 거제1동 15-1,2,5,3592.01,60
43,남일,부산광역시 연제구 연산5동 1122-1,3,5,28314.39,142
43,현대,부산광역시 연제구 연산2동 1331-19,1,5,2354.95,30
43,동성,부산광역시 연제구 거제3동 730-2,1,5,2757.7,26
43,동광,부산광역시 연제구 거제3동 585-35,1,5,3575.53,31
43,양지,부산광역시 연제구 연산6동 2128-1,2,4,2404.68,36
43,연일상가,부산광역시 연제구 연산4동 636-28,2,4,2302.82,23
43,동서,부산광역시 연제구 연산4동 603-6,1,6,8042.88,46
43,고려,부산광역시 연제구 거제1동 212-15,1,4,1893.43,24
