학교명,도로명주소,위도,경도
기장초등학교,부산광역시 기장군 기장읍 읍내로 69,35.24577217,129.2127656
성일여자고등학교,부산광역시 사하구 다대로 161,35.08949951,128.9800626
한국과학영재학교,부산광역시 부산진구 백양관문로 105-47 (당감동. 한국과학영재학교),35.16520011,129.0257844
서감초등학교,부산광역시 사상구 괘감로 64,35.15782029,128.9820602
부일외국어고등학교,부산광역시 사하구 감천로73번길 36,35.09073609,129.0025604
삼성여자고등학교,부산광역시 사하구 감천로43번길 45,35.09422497,128.9982328
괴정초등학교,부산광역시 사하구 낙동대로 152,35.10376396,128.9997579
동래여자중학교,부산광역시 금정구 체육공원로 20,35.24704234,129.0981972
동아중학교,부산광역시 수영구 호암로 55,35.15678092,129.106984
서천초등학교,부산광역시 사하구 감천로105번길 10,35.08874156,129.0038498
보수초등학교,부산광역시 중구 흑교로 74,35.10607215,129.024219
덕명여자중학교,부산광역시 부산진구 봉수로 13,35.15108044,129.0704519
남산중학교,부산광역시 금정구 금단로 114,35.25981702,129.0936509
남산초등학교,부산광역시 금정구 금강로 614,35.26214065,129.0891842
다송중학교,부산광역시 사하구 다송로 55,35.06434989,128.9847862
일광초등학교,부산광역시 기장군 일광읍 해빛로 46,35.26805964,129.2229034
거제초등학교,부산광역시 연제구 해맞이로 39,35.17807396,129.0675717
부산소프트웨어마이스터고등학교,부산광역시 강서구 가락대로 1393,35.18926099,128.9039687
부산센텀여자고등학교,부산광역시 해운대구 해운대로469번길 50-1,35.16591884,129.1443578
부산디지털고등학교,부산광역시 중구 망양로 356,35.10885429,129.0324467
기장중학교,부산광역시 기장군 기장읍 읍내로 120,35.24488187,129.2183149
청학초등학교,부산광역시 영도구 청학로 49,35.09320176,129.0595039
부일전자디자인고등학교,부산광역시 사하구 감천로73번길 36,35.09073609,129.0025604
남천중학교,부산광역시 남구 황령대로492번길 71,35.13660359,129.1052341
부산영상예술고등학교,부산광역시 영도구 영상길 100,35.08513613,129.0449175
동인고등학교,부산광역시 동래구 쇠미로31번길 34,35.19852193,129.0509969
성동중학교,부산광역시 남구 남동천로 38,35.13993339,129.0662635
반안초등학교,부산광역시 해운대구 명장로67번길 40-42,35.20293351,129.1132302
운산초등학교,부산광역시 남구 용호로269번길 89,35.11020374,129.1152252
경남고등학교,부산광역시 서구 망양로111번길 65,35.1201981,129.0200404
용호초등학교,부산광역시 남구 용호로42번길 94,35.1224793,129.108986
사직여자고등학교,부산광역시 동래구 쇠미로27번길 21,35.1968431,129.0514472
