운영상태,도로명전체주소,소재지전체주소,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
사용중지,"부산광역시 중구 충장대로 20, 부산세관 (중앙동4가)",부산광역시 중구 중앙동4가 17번지 26호 부산세관,지하,991.0,1201,35.10448352758026,129.03898041726208,1140261.524003,1679898.400404
사용중,"부산광역시 중구 충장대로 11 (중앙동4가, 무역회관빌딩)",부산광역시 중구 중앙동4가 87번지 7호,지하,1205.0,1460,35.10554547870145,129.03771176810238,1140144.072484,1680014.397445
사용중,부산광역시 중구 중앙대로 지하 83 (중앙동4가),부산광역시 중구 중앙동4가 26번지 3호,지하,2543.0,3082,35.10516095967745,129.0360821397546,1139996.196847,1679969.45794
사용중,"부산광역시 중구 중앙대로 지하 17 (중앙동6가, 광복지하도상가)",부산광역시 중구 중앙동6가 9번지 1호,지하,3666.0,4443,35.09928764507899,129.03632725183107,1140028.584497,1679318.383257
사용중,부산광역시 중구 중앙대로 63 (중앙동3가),부산광역시 중구 중앙동3가 1번지,지하,2054.0,2489,35.1033948156617,129.03614501209648,1140004.948304,1679773.660244
사용중,부산광역시 중구 중앙대로 49 (중앙동2가),부산광역시 중구 중앙동2가 15번지 1호,지하,424.0,513,35.102064121992825,129.03621340331676,1140013.458117,1679626.166888
사용중,부산광역시 중구 대청로 136 (중앙동2가),부산광역시 중구 중앙동2가 44번지 1호,지하,1008.0,1221,35.102720539268155,129.03483092304722,1139886.324141,1679697.028792
사용중,부산광역시 중구 동광길93번길 5 (동광동5가),부산광역시 중구 동광동5가 16번지 11호,지하,684.0,829,35.10705447130124,129.0344225690123,1139841.698465,1680177.139142
사용중,부산광역시 중구 중앙대로 21 (동광동1가),부산광역시 중구 동광동1가 66번지 3호,지하,1320.0,1600,35.099570610450506,129.036389361075,1140033.761893,1679349.854721
사용중,부산광역시 중구 중구로 120 (대청동1가),부산광역시 중구 대청동1가 1번지 4호,지하,264.0,320,35.10681287761287,129.03271816515212,1139686.764971,1680147.951728
사용중,부산광역시 중구 중구로 81 (대청동4가),부산광역시 중구 대청동4가 79번지 1호,지하,267.0,323,35.10461541444558,129.0298051598751,1139425.005193,1679900.145755
