경도,위도,최대수용인원,도로명주소,대피소 종류,시설면적(㎡),운영상태
129.223647,35.216698,500,부산 기장군 기장읍 연화리 284-32,지진해일,412.5,사용중
129.22487,35.21908,300,부산 기장군 기장읍 연화리 193,지진해일,247.5,사용중
129.20986,35.1860857,400,부산 기장군 기장읍 당사리 510,지진해일,330.0,사용중
129.228664,35.226286,300,부산광역시 기장군 기장읍 대변로 149,지진해일,247.5,사용중
129.22629,35.223734,300,부산 기장군 기장읍 대변리 450,지진해일,247.5,사용중
129.2264271,35.220273,300,부산 기장군 기장읍 연화리 산1-7,지진해일,247.5,사용중
129.2875385,35.3298928,1500,부산 기장군 장안읍 길천리 85,지진해일,1237.5,사용중
129.2685592,35.3256212,900,부산광역시 기장군 장안읍 해맞이로 311-31,지진해일,742.5,사용중
129.2777538,35.3296915,700,부산 기장군 장안읍 월내리 286-2 ,지진해일,577.5,사용중
129.2432955,35.2569652,300,부산 기장군 일광면 학리 176,지진해일,247.5,사용중
129.2394546,35.2671096,80,부산 기장군 일광면 일광로 188,지진해일,66.0,사용중
129.2321026,35.2611462,200,부산 기장군 일광면 일역길 75-13,지진해일,165.0,사용중
129.243485,35.239763,500,부산 기장군 기장읍 죽성리 296-1,지진해일,412.5,사용중
129.243623,35.24103,500,부산광역시 기장군 기장읍 두호길 8-16,지진해일,412.5,사용중
129.2418417,35.2376781,90,부산 기장군 기장읍 죽성리 481-1,지진해일,74.25,사용중
129.2590213,35.3170621,90,부산광역시 기장군 장안읍 해맞이로 167,지진해일,74.25,사용중
129.2609659,35.3187583,350,부산 기장군 장안읍 임랑리 97-10 ,지진해일,288.75,사용중
129.2554593,35.2984635,300,부산 기장군 일광면 칠암리 134,지진해일,247.5,사용중
129.2435932,35.2735128,400,부산 기장군 일광면 이천리 221-4 ,지진해일,330.0,사용중
129.0208572,35.079715,200,부산 서구 충무대로 83(암남동 88-5),지진해일,165.0,사용중
129.0201706,35.0624693,5000,부산 서구 암남공원로 179-13(암남동 620-38),지진해일,4125.0,사용중
129.2321804,35.2702105,400,부산 기장군 일광면 이화로 47-10,지진해일,330.0,사용중
129.118334,35.1285486,969,부산 남구 용호동 산5-4,지진해일,799.425,사용중
128.9690431,35.0431082,1000,부산 사하구 다대동 469-2,지진해일,825.0,사용중
128.9666042,35.0505725,3515,부산광역시 사하구 다대낙조2길 8(다대동),지진해일,2899.875,사용중
128.9787885,35.0646119,151,부산 사하구 다대2동 113-9,지진해일,124.575,사용중
128.9848,35.0623,300,"부산광역시 사하구 다송로 59(다대동, 다대4지구도개공영구임대아파트)",지진해일,247.5,사용중
129.2661077,35.3216755,90,부산 기장군 장안읍 해맞이로 253-38,지진해일,74.25,사용중
129.2568567,35.3080381,500,부산 기장군 일광면 문동리 산25-3,지진해일,412.5,사용중
129.0184861,35.0778887,200,"부산광역시 서구 충무대로 56(암남동, 송도탑스빌)",지진해일,165.0,사용중
129.0180141,35.0706447,250,부산광역시 서구 암남공원로 75(암남동),지진해일,206.25,사용중
129.0154874,35.0739463,1000,부산광역시 서구 암남공원로 25(암남동),지진해일,825.0,사용중
