주소,경도,위도,수용가능인원수,대피소 lenght,대피소구분,대피소 height,도로명주소,관리기관
부산광역시 기장군 기장읍 연화리 276-3,129.223647,35.216698,500,500,도로변,28,부산 기장군 기장읍 연화리 284-32,기장군청
부산광역시 기장군 기장읍 연화리 193,129.22487,35.21908,300,250,도로변,17,부산 기장군 기장읍 연화리 193,기장군청
부산광역시 기장군 기장읍 당사리 507,129.20986,35.1860857,400,300,도로변,15,부산 기장군 기장읍 당사리 510,기장군청
부산광역시 기장군 기장읍 대변리 383,129.228664,35.226286,300,350,민간건축물,15,부산광역시 기장군 기장읍 대변로 149,기장군청
부산광역시 기장군 기장읍 대변리 450,129.22629,35.223734,300,75,도로변,20,부산 기장군 기장읍 대변리 450,기장군청
부산광역시 기장군 기장읍 연화리 산1-11,129.2264271,35.220273,300,200,도로변,17,부산 기장군 기장읍 연화리 산1-7,기장군청
부산광역시 기장군 장안읍 길천리 64,129.2875385,35.3298928,1500,500,공공건축물,14,부산 기장군 장안읍 길천리 85,기장군청
부산광역시 기장군 장안읍 월내리 579,129.2685592,35.3256212,900,550,공공건축물,34,부산광역시 기장군 장안읍 해맞이로 311-31,기장군청
부산광역시 기장군 장안읍 월내리 284,129.2777538,35.3296915,700,400,공터,26,부산 기장군 장안읍 월내리 286-2 ,기장군청
부산광역시 기장군 일광면 학리 160-4,129.2432955,35.2569652,300,300,공터,23,부산 기장군 일광면 학리 176,기장군청
부산광역시 기장군 일광면 이천리 937,129.2394546,35.2671096,80,80,도로변,14,부산 기장군 일광면 일광로 188,기장군청
부산광역시 기장군 일광면 삼성리 118-21,129.2321026,35.2611462,200,150,도로변,14,부산 기장군 일광면 일역길 75-13,기장군청
부산광역시 기장군 기장읍 죽성리 296-1,129.243485,35.239763,500,520,공터,15,부산 기장군 기장읍 죽성리 296-1,기장군청
부산광역시 기장군 기장읍 죽성리 267,129.243623,35.24103,500,400,공터,15,부산광역시 기장군 기장읍 두호길 8-16,기장군청
부산광역시 기장군 기장읍 죽성리 957,129.2418417,35.2376781,90,130,도로변,15,부산 기장군 기장읍 죽성리 481-1,기장군청
부산광역시 기장군 장안읍 임랑리 110-3,129.2590213,35.3170621,90,100,도로변,15,부산광역시 기장군 장안읍 해맞이로 167,기장군청
부산광역시 기장군 장안읍 임랑리 97-10,129.2609659,35.3187583,350,400,공터,11,부산 기장군 장안읍 임랑리 97-10 ,기장군청
부산광역시 기장군 일광면 칠암리 134,129.2554593,35.2984635,300,400,공공건축물,11,부산 기장군 일광면 칠암리 134,기장군청
부산광역시 기장군 일광면 이천리 226,129.2435932,35.2735128,400,400,공터,14,부산 기장군 일광면 이천리 221-4 ,기장군청
부산광역시 서구 암남동 85-18,129.0208572,35.079715,200,370,공터,22,부산 서구 충무대로 83(암남동 88-5),서구청
부산광역시 서구 암남동 620-36,129.0201706,35.0624693,5000,210,공터,16,부산 서구 암남공원로 179-13(암남동 620-38),서구청
부산광역시 기장군 일광면 이천리 산36-50,129.2321804,35.2702105,400,650,도로변,18,부산 기장군 일광면 이화로 47-10,기장군청
부산광역시 남구 용호동 산6-1,129.118334,35.1285486,969,600,도로변,25,부산 남구 용호동 산5-4,남구청
부산광역시 사하구 다대동 산144,128.9690431,35.0431082,1000,250,공터,10,부산 사하구 다대동 469-2,사하구청
부산광역시 사하구 다대동 1550-4,128.9666042,35.0505725,3515,755,학교운동장,35,부산광역시 사하구 다대낙조2길 8(다대동),사하구청
부산광역시 사하구 다대동 113-9,128.9787885,35.0646119,151,818,공터,40,부산 사하구 다대2동 113-9,사하구청
부산광역시 사하구 다대동 96-1,128.9848,35.0623,300,656,공터,27,"부산광역시 사하구 다송로 59(다대동, 다대4지구도개공영구임대아파트)",사하구청
부산광역시 기장군 장안읍 임랑리 산2-17,129.2661077,35.3216755,90,100,도로변,10,부산 기장군 장안읍 해맞이로 253-38,기장군청
부산광역시 기장군 일광면 문동리 296,129.2568567,35.3080381,500,600,공터,42,부산 기장군 일광면 문동리 산25-3,기장군청
부산광역시 서구 암남동 257-4,129.0184861,35.0778887,200,160,도로변,30,"부산광역시 서구 충무대로 56(암남동, 송도탑스빌)",서구청
부산광역시 서구 암남동 618-8,129.0180141,35.0706447,250,100,공터,100,부산광역시 서구 암남공원로 75(암남동),서구청
부산광역시 서구 암남동 579,129.0154874,35.0739463,1000,360,공공건축물,23,부산광역시 서구 암남공원로 25(암남동),서구청
부산광역시 서구 암남동 313,129.0155035,35.0786131,1200,210,학교운동장,20,부산광역시 서구 충무대로 25(암남동),서구청
부산광역시 서구 암남동 765,129.0230513,35.0767604,1500,250,공터,11,부산광역시 서구 송도해변로 171(암남동),서구청
부산광역시 수영구 민락동 34-10,129.125399,35.1573369,813,410,공공건축물,12,부산광역시 수영구 광안해변로295번길 20(민락동),수영구
