역명,지번주소,위도,경도,승하차인원_합계
괴정,부산광역시 사하구 괴정동 934-3,35.0997342,128.9919047,545404.0
교대,부산광역시 연제구 거제동 72-25,35.1958203,129.0799954,301985.0
구서,부산광역시 금정구 구서동 475,35.2450846,129.090869,546261.0
남산,부산광역시 금정구 남산동 136-1,35.2656436,129.0908813,298138.0
남포,부산광역시 중구 남포동1가 11,35.0978841,129.034585,1081561.0
노포,부산광역시 금정구 노포동 133,35.2839144,129.0964874,623486.0
당리,부산광역시 사하구 당리동 323,35.1023992,128.9764614,391198.0
대티,부산광역시 사하구 괴정동 317-1,35.1031457,128.999766,224683.0
동대신,부산광역시 서구 동대신동2가 428-9,35.11025,129.018005,385087.0
동래,부산광역시 동래구 온천동 527,35.2039278,129.0783637,1029061.0
동래,부산광역시 동래구 온천동 527,35.2039278,129.0783637,135880.0
동래,부산광역시 동래구 온천동 527,35.2039278,129.0783637,78714.0
두실,부산광역시 금정구 구서동 262,35.2545912,129.0903115,388987.0
명륜,부산광역시 동래구 온천동 489-4,35.2120408,129.0796654,616650.0
범내골,부산광역시 부산진구 범천동 948-4,35.1485188,129.0598705,589618.0
범어사,부산광역시 금정구 청룡동 47,35.2726952,129.0926651,424847.0
범일,부산광역시 동구 범일동 949,35.1394694,129.0594213,888969.0
부산,부산광역시 동구 초량동 1206-1,35.1145521,129.0392244,1358462.0
부산대,부산광역시 금정구 장전동 427,35.2326852,129.0892105,824957.0
부산진,부산광역시 동구 초량동 1170,35.1236411,129.0451381,430546.0
부전,부산광역시 부산진구 부전동 573-1,35.1581475,129.0598539,232929.0
사하,부산광역시 사하구 괴정동 661,35.0990578,128.9836549,255510.0
서대신,부산광역시 서구 서대신동2가 338,35.1109394,129.0120194,208789.0
서면,부산광역시 부산진구 부전동 573-1,35.1581475,129.0598539,2249743.0
서면,부산광역시 부산진구 부전동 573-1,35.1581475,129.0598539,1493162.0
시청,부산광역시 연제구 연산동 1328-9,35.1809617,129.0776786,876797.0
신평,부산광역시 사하구 신평동 646,35.0936576,128.9611269,382335.0
양정,부산광역시 부산진구 양정동 408,35.1717955,129.0703137,681215.0
연산,부산광역시 연제구 연산동 1515-1,35.1891281,129.0808535,1078597.0
온천장,부산광역시 동래구 온천동 1750-1,35.2138753,129.0813222,875901.0
자갈치,부산광역시 중구 남포동6가 117-1,35.097255,129.0268705,1107930.0
장전,부산광역시 금정구 장전동 242,35.2408936,129.0884078,620551.0
좌천,부산광역시 동구 좌천동 236,35.1342744,129.054318,65997.0
중앙,부산광역시 중구 중앙동4가 26-3,35.1047677,129.0364371,561812.0
초량,부산광역시 동구 초량동 1170,35.1236411,129.0451381,373493.0
토성,부산광역시 서구 토성동3가 11-3,35.1008807,129.0198838,513839.0
하단,부산광역시 사하구 하단동 491,35.1082275,128.9654993,1074837.0
가야,부산광역시 부산진구 가야동 15-13,35.1557636,129.0426916,210829.0
감전,부산광역시 사상구 감전동 174,35.1533691,128.9814337,237301.0
개금,부산광역시 부산진구 개금동 487-2,35.1530538,129.0192899,497967.0
경성대·부경대,부산광역시 남구 대연동 77,35.1372881,129.1016467,822699.0
광안,부산광역시 수영구 광안동 205,35.158153,129.1159621,682271.0
구남,부산광역시 북구 구포동 897-21,35.1969246,128.9950252,249968.0
구명,부산광역시 북구 구포동 969-1,35.2023762,128.9991932,179670.0
국제금융센터·부산은행,부산광역시 남구 문현동 728-3,35.1463782,129.0666086,283626.0
금곡,부산광역시 북구 금곡동 581-1,35.2675783,129.0169958,129338.0
금련산,부산광역시 수영구 남천동 78,35.1453974,129.1097678,449651.0
남천,부산광역시 수영구 남천동 78,35.1453974,129.1097678,449371.0
냉정,부산광역시 사상구 주례동 62-2,35.15122849999999,129.0115456,267163.0
대연,부산광역시 남구 대연동 1756-27,35.1344718,129.0903736,574428.0
덕천,부산광역시 북구 덕천동 327,35.2102217,129.0059825,356537.0
덕천,부산광역시 북구 덕천동 327,35.2102217,129.0059825,661570.0
덕포,부산광역시 사상구 덕포동 430,35.1751615,128.9840775,265582.0
동백,부산광역시 해운대구 우동 991-3,35.1614145,129.1478853,402566.0
동원,부산광역시 북구 금곡동 846-1,35.25897870000001,129.0127821,85890.0
